,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
313,MIGORI,Rural,Male,134.08%,129.56%,46.19%,3.03%,2.03%,0.78%,0.03%,0%,12693,38596,5646,342,229,88,18,2,57614,9467,29789,12224,51480,11282,Migori,NYANZA,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.30280979,-0.994047994,"(-0.994047994, 34.30280979)",312
314,MIGORI,Rural,Female,131.06%,118.17%,26.83%,1.7%,0.56%,0.27%,0.04%,0%,12257,35115,3102,218,72,34,22,1,50821,9352,29715,11562,50629,12817,Migori,NYANZA,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.30280979,-0.994047994,"(-0.994047994, 34.30280979)",313
315,RONGO,Rural,Male,121.5%,132.35%,51.13%,3.62%,2.08%,0.84%,0.02%,0%,5854,21270,3608,220,126,51,5,0,31134,4818,16071,7057,27946,6070,Migori,NYANZA,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51455638,-0.877791282,"(-0.877791282, 34.51455638)",314
316,RONGO,Rural,Female,117.04%,122.63%,27.7%,1.91%,0.46%,0.43%,0.04%,0%,5707,19213,1737,132,32,30,10,0,26861,4876,15668,6270,26814,6910,Migori,NYANZA,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51455638,-0.877791282,"(-0.877791282, 34.51455638)",315
317,KURIA WEST,Rural,Male,109.32%,123.25%,50.98%,2.8%,1.82%,0.23%,0.04%,0.1%,5912,22596,3629,195,127,16,14,30,32519,5408,18333,7119,30860,6966,Migori,NYANZA,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51983447,-1.18554383,"(-1.18554383, 34.51983447)",316
318,KURIA WEST,Rural,Female,107.44%,118.35%,36.54%,1.62%,0.57%,0.27%,0.17%,0.11%,5558,21307,2381,122,43,20,51,32,29514,5173,18003,6517,29693,7539,Migori,NYANZA,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51983447,-1.18554383,"(-1.18554383, 34.51983447)",317
319,KURIA EAST,Rural,Male,88.65%,131.34%,52.16%,3.32%,2.46%,0.22%,0.03%,0.01%,2821,14345,2217,136,101,9,5,1,19635,3182,10922,4250,18354,4098,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65699509,-1.279753411,"(-1.279753411, 34.65699509)",318
320,KURIA EAST,Rural,Female,86.55%,125.47%,37.5%,2.07%,0.66%,0.41%,0.02%,0%,2702,13458,1462,91,29,18,4,0,17764,3122,10726,3899,17747,4400,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65699509,-1.279753411,"(-1.279753411, 34.65699509)",319
321,KISII CENTRAL,Rural,Male,90.96%,127.86%,74.55%,4.16%,2.89%,0.75%,0.03%,0%,8552,41189,10505,545,378,98,19,0,61286,9402,32214,14092,55708,13094,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.79181187,-0.589287405,"(-0.589287405, 34.79181187)",320
322,KISII CENTRAL,Rural,Female,89.95%,123.47%,65.53%,4.87%,0.94%,0.5%,0.03%,0%,8119,39636,8983,795,153,82,19,0,57787,9026,32103,13709,54838,16325,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.79181187,-0.589287405,"(-0.589287405, 34.79181187)",321
323,KISII SOUTH,Rural,Male,131.56%,120.99%,53.1%,3.12%,1.7%,1.98%,0.1%,0%,2622,7938,1415,79,43,50,12,0,12159,1993,6561,2665,11219,2529,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.6895693,-0.664610487,"(-0.664610487, 34.6895693)",322
324,KISII SOUTH,Rural,Female,128.57%,117.1%,40.57%,2.11%,0.65%,1.04%,0.05%,0%,2538,7642,1089,65,20,32,6,0,11392,1974,6526,2684,11184,3087,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.6895693,-0.664610487,"(-0.664610487, 34.6895693)",323
325,MASABA,Rural,Male,87.45%,125.69%,94.63%,5.84%,3.57%,1.13%,0.03%,0.01%,4138,20229,6981,389,238,75,10,4,32064,4732,16094,7377,28203,6661,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.88253143,-0.793929262,"(-0.793929262, 34.88253143)",324
326,MASABA,Rural,Female,83.88%,121.26%,85.51%,3.94%,1.14%,0.92%,0.03%,0%,3950,19886,5859,314,91,73,9,0,30182,4709,16399,6852,27960,7969,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.88253143,-0.793929262,"(-0.793929262, 34.88253143)",325
327,GUCHA,Rural,Male,110.73%,125.98%,84.44%,5.09%,3.08%,1%,0.04%,0%,13648,52834,15296,872,527,171,31,0,83379,12326,41937,18114,72377,17123,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.77186075,-0.846550168,"(-0.846550168, 34.77186075)",326
328,GUCHA,Rural,Female,109.96%,122.86%,72.16%,3.2%,0.89%,0.74%,0.04%,0.01%,13086,50894,12960,686,191,159,35,4,78015,11901,41426,17960,71287,21423,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.77186075,-0.846550168,"(-0.846550168, 34.77186075)",327
329,GUCHA SOUTH,Rural,Male,111.61%,127.83%,71.54%,3.87%,2.9%,1.02%,0.04%,0%,5865,21288,5086,278,208,73,12,1,32811,5255,16654,7109,29018,7180,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65567846,-0.847942391,"(-0.847942391, 34.65567846)",328
330,GUCHA SOUTH,Rural,Female,107.97%,122.25%,54.72%,2.51%,0.94%,0.73%,0.1%,0%,5449,20166,3764,221,83,64,30,1,29778,5047,16496,6879,28422,8796,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65567846,-0.847942391,"(-0.847942391, 34.65567846)",329
331,NYAMIRA,Rural,Male,101.53%,127.46%,76.3%,4.58%,2.86%,0.83%,0.03%,0%,8985,37407,9716,574,358,104,18,0,57162,8850,29348,12734,50932,12523,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.96346861,-0.549513229,"(-0.549513229, 34.96346861)",330
332,NYAMIRA,Rural,Female,100.36%,121.73%,68.71%,3.23%,0.95%,0.45%,0.07%,0%,8555,35970,9040,498,146,70,38,2,54319,8524,29549,13157,51230,15396,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.96346861,-0.549513229,"(-0.549513229, 34.96346861)",331
333,MANGA,Rural,Male,100.92%,125.7%,84.72%,6.44%,2.67%,1.81%,0.06%,0.01%,3063,11877,3626,263,109,74,12,1,19025,3035,9449,4280,16764,4081,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.90211779,-0.688310175,"(-0.688310175, 34.90211779)",332
334,MANGA,Rural,Female,104.56%,118.92%,79.07%,5.03%,0.96%,0.92%,0.08%,0.01%,2843,11073,3384,256,49,47,14,1,17667,2719,9311,4280,16310,5093,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.90211779,-0.688310175,"(-0.688310175, 34.90211779)",333
335,BORABU,Rural,Male,114.62%,114.8%,87%,7.88%,5.23%,0.93%,0.05%,0%,2501,8472,2730,253,168,30,7,0,14161,2182,7380,3138,12700,3210,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02803793,-0.735368659,"(-0.735368659, 35.02803793)",334
336,BORABU,Rural,Female,110.54%,111.28%,81.7%,8.46%,3.12%,0.32%,0.1%,0%,2308,8127,2483,287,106,11,13,0,13335,2088,7303,3039,12430,3394,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02803793,-0.735368659,"(-0.735368659, 35.02803793)",335
337,SIAYA,Urban,Male,117.82%,107.52%,70.5%,10.85%,10.65%,0.34%,0.06%,0%,1362,4562,1341,222,218,7,5,0,7717,1156,4243,1902,7301,2047,Siaya,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.3043068,0.11399015,"(0.11399015, 34.3043068)",336
338,SIAYA,Urban,Female,111.65%,116.24%,55.21%,9.62%,5.38%,0.55%,0.07%,0%,1390,5089,1177,261,146,15,6,0,8084,1245,4378,2132,7755,2714,Siaya,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.3043068,0.11399015,"(0.11399015, 34.3043068)",337
339,BONDO,Urban,Male,121.61%,126.19%,56.09%,9.07%,8.03%,0.43%,0.06%,0%,1829,6056,1174,210,186,10,6,0,9471,1504,4799,2093,8396,2316,Siaya,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.19064437,-0.09212788,"(-0.09212788, 34.19064437)",338
340,BONDO,Urban,Female,120.81%,122.47%,52.67%,8.3%,4.52%,0.09%,0.07%,0%,1869,6045,1212,268,146,3,7,0,9550,1547,4936,2301,8784,3228,Siaya,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.19064437,-0.09212788,"(-0.09212788, 34.19064437)",339
341,RARIEDA,Urban,Male,98.9%,125.8%,59.57%,6.06%,4.55%,0.76%,0%,0%,90,356,84,8,6,1,0,0,545,91,283,141,515,132,Siaya,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.33792037,-0.218940047,"(-0.218940047, 34.33792037)",340
342,RARIEDA,Urban,Female,85.58%,121.56%,50.38%,3.6%,2.25%,0%,0%,0%,89,389,66,8,5,0,0,0,557,104,320,131,555,222,Siaya,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.33792037,-0.218940047,"(-0.218940047, 34.33792037)",341
343,KISUMU EAST,Urban,Male,142.24%,112.19%,72.33%,14.66%,10.46%,1.7%,0.15%,0.02%,15540,41030,11695,3250,2319,376,114,13,74337,10925,36571,16170,63666,22174,Kisumu,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.80473358,-0.103412297,"(-0.103412297, 34.80473358)",342
344,KISUMU EAST,Urban,Female,142.11%,111.31%,59.31%,13.54%,6.08%,0.88%,0.15%,0.03%,15697,42566,10724,3802,1709,246,115,23,74882,11046,38241,18081,67368,28086,Kisumu,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.80473358,-0.103412297,"(-0.103412297, 34.80473358)",343
345,KISUMU WEST,Urban,Male,142%,114.2%,114.85%,6.52%,101.39%,0.11%,0%,0%,213,579,263,61,948,1,0,0,2065,150,507,229,886,935,Kisumu,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.53285818,-0.087587476,"(-0.087587476, 34.53285818)",344
346,KISUMU WEST,Urban,Female,127.21%,118.44%,58.26%,9.47%,71.48%,0.24%,0.05%,0%,173,880,208,78,589,2,1,0,1931,136,743,357,1236,824,Kisumu,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.53285818,-0.087587476,"(-0.087587476, 34.53285818)",345
347,NYANDO,Urban,Male,138.37%,122.8%,64.5%,7.4%,5.2%,0.77%,0.08%,0.01%,5049,14850,3645,425,299,44,20,3,24335,3649,12093,5651,21393,5747,Kisumu,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02991504,-0.198538171,"(-0.198538171, 35.02991504)",346
348,NYANDO,Urban,Female,133.69%,116.53%,52.94%,5.51%,2.25%,0.55%,0.1%,0%,4814,14309,2837,358,146,36,22,1,22523,3601,12279,5359,21239,6502,Kisumu,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02991504,-0.198538171,"(-0.198538171, 35.02991504)",347
349,HOMABAY,Urban,Male,146.47%,119.34%,72.98%,8.85%,6.27%,0.8%,0.08%,0.02%,2777,8051,2153,254,180,23,11,2,13451,1896,6746,2950,11592,2869,Homa Bay,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.44445584,-0.667961724,"(-0.667961724, 34.44445584)",348
350,HOMABAY,Urban,Female,146.17%,115.48%,54.42%,8.51%,2.3%,0.86%,0.08%,0%,2732,8156,1699,326,88,33,11,0,13045,1869,7063,3122,12054,3829,Homa Bay,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.44445584,-0.667961724,"(-0.667961724, 34.44445584)",349
351,SUBA,Urban,Male,144.35%,112.49%,67.94%,5.98%,9.08%,0.57%,0.09%,0%,869,1909,443,52,79,5,3,0,3360,602,1697,652,2951,870,Homa Bay,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.20665004,-0.582416527,"(-0.582416527, 34.20665004)",350
352,SUBA,Urban,Female,137.74%,111.07%,45.09%,4.76%,2.62%,0.21%,0.03%,0%,927,2198,372,69,38,3,1,0,3608,673,1979,825,3477,1450,Homa Bay,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.20665004,-0.582416527,"(-0.582416527, 34.20665004)",351
353,RACHUONYO,Urban,Male,121.45%,121.6%,71.73%,6.93%,5.65%,0.65%,0.1%,0.04%,2389,8342,2174,201,164,19,13,5,13307,1967,6860,3031,11858,2902,Homa Bay,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.70386182,-0.43493606,"(-0.43493606, 34.70386182)",352
354,RACHUONYO,Urban,Female,116.49%,119.2%,56.89%,6.96%,2.63%,0.48%,0.12%,0%,2416,8387,1750,259,98,18,16,0,12944,2074,7036,3076,12186,3722,Homa Bay,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.70386182,-0.43493606,"(-0.43493606, 34.70386182)",353
355,MIGORI,Urban,Male,127.78%,125.88%,65.53%,12.08%,5.36%,0.74%,0.06%,0.13%,3491,10555,2336,507,225,31,11,19,17175,2732,8385,3565,14682,4197,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.30280979,-0.994047994,"(-0.994047994, 34.30280979)",354
356,MIGORI,Urban,Female,128.72%,121.19%,47.41%,12.39%,1.63%,0.42%,0.12%,0.09%,3424,11016,1938,686,90,23,21,14,17212,2660,9090,4088,15838,5538,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.30280979,-0.994047994,"(-0.994047994, 34.30280979)",355
357,RONGO,Urban,Male,125.55%,129.52%,65.49%,6.5%,5.47%,1.01%,0.06%,0%,8520,28179,6324,623,524,97,27,0,44294,6786,21757,9657,38200,9588,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51455638,-0.877791282,"(-0.877791282, 34.51455638)",356
358,RONGO,Urban,Female,124.86%,121%,45.84%,5.87%,2.43%,0.52%,0.09%,0%,8408,26830,4399,665,276,59,36,0,40673,6734,22173,9597,38504,11338,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51455638,-0.877791282,"(-0.877791282, 34.51455638)",357
359,KURIA WEST,Urban,Male,112%,113.95%,74.07%,6.74%,5.96%,0.34%,0.01%,0.07%,1400,5178,1294,139,123,7,1,5,8147,1250,4544,1747,7541,2063,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51983447,-1.18554383,"(-1.18554383, 34.51983447)",358
360,KURIA WEST,Urban,Female,107.61%,114.93%,64.79%,6.35%,3.24%,0.29%,0.07%,0.05%,1385,5295,1194,153,78,7,6,4,8122,1287,4607,1843,7737,2410,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.51983447,-1.18554383,"(-1.18554383, 34.51983447)",359
361,KURIA EAST,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65699509,-1.279753411,"(-1.279753411, 34.65699509)",360
362,KURIA EAST,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migori,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65699509,-1.279753411,"(-1.279753411, 34.65699509)",361
363,KISII CENTRAL,Urban,Male,100.09%,114.94%,91.1%,21.9%,16.63%,0.99%,0.17%,0%,2177,8210,3062,1081,821,49,26,0,15426,2175,7143,3361,12679,4936,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.79181187,-0.589287405,"(-0.589287405, 34.79181187)",362
364,KISII CENTRAL,Urban,Female,98.8%,114.1%,81.54%,21.25%,9.51%,0.59%,0.1%,0.01%,2053,8660,3093,1331,596,37,16,1,15787,2078,7590,3793,13461,6265,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.79181187,-0.589287405,"(-0.589287405, 34.79181187)",363
365,KISII SOUTH,Urban,Male,113.45%,121.68%,73.67%,9.29%,5.65%,1.02%,0.08%,0%,2125,7946,2224,265,161,29,10,0,12760,1873,6530,3019,11422,2852,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.6895693,-0.664610487,"(-0.664610487, 34.6895693)",364
366,KISII SOUTH,Urban,Female,108.44%,120.79%,61.85%,13.91%,2.64%,0.61%,0.09%,0%,1966,7932,1840,505,96,22,11,0,12372,1813,6567,2975,11355,3631,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.6895693,-0.664610487,"(-0.664610487, 34.6895693)",365
367,MASABA,Urban,Male,96.44%,122.97%,97.76%,5.87%,4.03%,0.78%,0.03%,0%,2845,12459,4534,255,175,34,6,0,20308,2950,10132,4638,17720,4345,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.88253143,-0.793929262,"(-0.793929262, 34.88253143)",366
368,MASABA,Urban,Female,91.72%,120.82%,83.71%,4.62%,1.87%,0.76%,0.03%,0%,2625,12421,3917,244,99,40,5,0,19351,2862,10281,4679,17822,5287,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.88253143,-0.793929262,"(-0.793929262, 34.88253143)",367
369,GUCHA,Urban,Male,126.24%,119.01%,96.2%,8.68%,7.43%,1.25%,0.03%,0%,1145,3455,1113,118,101,17,2,0,5951,907,2903,1157,4967,1359,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.77186075,-0.846550168,"(-0.846550168, 34.77186075)",368
370,GUCHA,Urban,Female,134.05%,116.61%,75.8%,8.23%,1.74%,0.52%,0.09%,0%,1059,3356,927,142,30,9,5,0,5528,790,2878,1223,4891,1725,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.77186075,-0.846550168,"(-0.846550168, 34.77186075)",369
371,GUCHA SOUTH,Urban,Male,123.8%,126.35%,68.15%,8.69%,6.39%,1.15%,0.07%,0%,463,1755,428,53,39,7,2,0,2747,374,1389,628,2391,610,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65567846,-0.847942391,"(-0.847942391, 34.65567846)",370
372,GUCHA SOUTH,Urban,Female,115.76%,117.69%,65.71%,17.12%,1.93%,1.16%,0.11%,0%,448,1603,410,133,15,9,3,0,2621,387,1362,624,2373,777,Kisii,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.65567846,-0.847942391,"(-0.847942391, 34.65567846)",371
373,NYAMIRA,Urban,Male,100.66%,125.61%,80.42%,10.19%,5.29%,0.64%,0.1%,0%,1985,8349,2448,320,166,20,13,0,13301,1972,6647,3044,11663,3139,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.96346861,-0.549513229,"(-0.549513229, 34.96346861)",372
374,NYAMIRA,Urban,Female,99.07%,122.13%,73.17%,13.31%,2.71%,0.45%,0.09%,0.01%,1909,8288,2154,506,103,17,12,1,12990,1927,6786,2944,11657,3802,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.96346861,-0.549513229,"(-0.549513229, 34.96346861)",373
375,MANGA,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.90211779,-0.688310175,"(-0.688310175, 34.90211779)",374
376,MANGA,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.90211779,-0.688310175,"(-0.688310175, 34.90211779)",375
377,BORABU,Urban,Male,125.39%,109.4%,107.05%,7.47%,12.66%,0.65%,0%,0%,242,605,334,23,39,2,0,0,1245,193,553,312,1058,308,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02803793,-0.735368659,"(-0.735368659, 35.02803793)",376
378,BORABU,Urban,Female,137.99%,108.49%,96.93%,12.67%,6.47%,0.27%,0%,0%,247,588,316,47,24,1,0,0,1223,179,542,326,1047,371,Nyamira,NYANZA,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02803793,-0.735368659,"(-0.735368659, 35.02803793)",377
379,TURKANA CENTRAL,Rural,Male,42.2%,27.36%,4.98%,0.51%,0.31%,0.05%,0.59%,0%,3001,7720,634,55,34,5,68,2,11519,7111,28219,12723,48053,10855,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.44299468,3.05371677,"(3.05371677, 35.44299468)",378
380,TURKANA CENTRAL,Rural,Female,43.82%,23.57%,2.71%,0.21%,0.06%,0%,0.46%,0%,2970,6297,286,21,6,0,44,1,9625,6778,26712,10554,44044,9857,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.44299468,3.05371677,"(3.05371677, 35.44299468)",379
381,TURKANA NORTH,Rural,Male,29.87%,19.55%,4.5%,0.35%,0.25%,0.06%,0.16%,0.01%,2721,8514,960,75,52,12,20,4,12358,9110,43539,21337,73986,21174,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.09717514,4.31378822,"(4.31378822, 35.09717514)",380
382,TURKANA NORTH,Rural,Female,29.28%,16.04%,2.19%,0.22%,0.07%,0.01%,0.51%,0%,2454,6094,364,35,12,2,46,3,9010,8380,37994,16639,63013,16113,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.09717514,4.31378822,"(4.31378822, 35.09717514)",381
